,Quarter,Time,Tm,Detail,NYG,TAM
0,1.0,,Buccaneers,Charles Mincy 22 yard interception return (Michael Husted kick),0,7
1,1.0,,Buccaneers,Michael Husted 35 yard field goal,0,10
2,4.0,,Giants,Brad Daluiso 22 yard field goal,3,10
3,4.0,,Buccaneers,Michael Husted 26 yard field goal,3,13
4,4.0,2:00,Buccaneers,Mike Alstott 1 yard rush (Michael Husted kick),3,20
