,Quarter,Tm,Detail,CHI,PHI
0,1.0,Eagles,Bobby Walston 12 yard field goal,0,3
1,1.0,Bears,Mike Ditka 76 yard pass from Billy Wade (Roger LeClerc kick),7,3
2,2.0,Eagles,Tommy McDonald 55 yard pass from Sonny Jurgensen (Bobby Walston kick),7,10
3,2.0,Bears,Rick Casares 2 yard rush (Roger LeClerc kick),14,10
4,3.0,Eagles,Clarence Peaks 3 yard rush,14,16
