,Quarter,Tm,Detail,BAL,CHI
0,1.0,Colts,Lenny Moore 2 yard rush (Lou Michaels kick),7,0
1,1.0,Colts,Lou Michaels 28 yard field goal,10,0
2,2.0,Colts,Lou Michaels 27 yard field goal,13,0
3,2.0,Colts,Lou Michaels 20 yard field goal,16,0
4,2.0,Bears,Roger LeClerc 47 yard field goal,16,3
5,3.0,Colts,Jerry Hill 3 yard rush (Lou Michaels kick),23,3
6,3.0,Bears,Rich Kreitling 4 yard pass from Rudy Bukich (Bob Jencks kick),23,10
7,3.0,Colts,Lou Michaels 42 yard field goal,26,10
8,4.0,Colts,Johnny Unitas 11 yard rush (Lou Michaels kick),33,10
9,4.0,Bears,Mike Ditka 9 yard pass from Rudy Bukich (Bob Jencks kick),33,17
10,4.0,Colts,Jerry Hill 32 yard rush (Lou Michaels kick),40,17
11,4.0,Bears,Johnny Morris 63 yard pass from Rudy Bukich (Bob Jencks kick),40,24
