,Quarter,Tm,Detail,NYG,BAL
0,1.0,Giants,Frank Gifford 7 yard rush (Ben Agajanian kick),7,0
1,2.0,Colts,Buddy Young 78 yard pass from Gary Kerkorian (Gary Kerkorian kick),7,7
2,2.0,Colts,Royce Womble 9 yard pass from Gary Kerkorian,7,13
3,2.0,Colts,Buddy Young 47 yard pass from Gary Kerkorian (Gary Kerkorian kick),7,20
4,4.0,Giants,Frank Gifford 1 yard rush (Ben Agajanian kick),14,20
