,Quarter,Tm,Detail,GNB,TAM
0,1.0,Packers,Brian Noble 1 yard defensive fumble return (Chris Jacke kick),7,0
1,1.0,Packers,Chris Jacke 34 yard field goal,10,0
2,2.0,Packers,Chris Jacke 46 yard field goal,13,0
3,3.0,Packers,Ed West 10 yard pass from Don Majkowski (Chris Jacke kick),20,0
4,4.0,Packers,Vince Workman 4 yard rush (Chris Jacke kick),27,0
