,Quarter,Tm,Detail,CIN,NYJ
0,2.0,Jets,Cary Blanchard 42 yard field goal,0,3
1,2.0,Jets,Brad Baxter 1 yard rush (Cary Blanchard kick),0,10
2,3.0,Jets,Terance Mathis 10 yard rush (Cary Blanchard kick),0,17
3,4.0,Bengals,Derrick Fenner 5 yard rush (Jim Breech kick),7,17
4,4.0,Bengals,Derrick Fenner 17 yard rush (Jim Breech kick),14,17
