,Quarter,Tm,Detail,PIT,SFO
0,1.0,Steelers,Fran Rogel 3 yard rush (Gary Kerkorian kick),7,0
1,1.0,49ers,Gordie Soltau 6 yard pass from Frankie Albert (Gordie Soltau kick),7,7
2,2.0,Steelers,Gary Kerkorian 19 yard field goal,10,7
3,3.0,Steelers,Jim Finks 1 yard rush (Gary Kerkorian kick),17,7
4,3.0,Steelers,Lynn Chandnois 48 yard pass from Jim Finks (Gary Kerkorian kick),24,7
