,Quarter,Tm,Detail,MIN,GNB
0,1.0,Packers,James Lofton 6 yard pass from Lynn Dickey (Jan Stenerud kick),0,7
1,1.0,Packers,Jan Stenerud 24 yard field goal,0,10
2,2.0,Vikings,Rick Danmeier 34 yard field goal,3,10
3,2.0,Vikings,Randy Holloway 45 yard defensive fumble return (Rick Danmeier kick),10,10
4,2.0,Vikings,Bob Bruer 1 yard pass from Tommy Kramer (Rick Danmeier kick),17,10
5,2.0,Vikings,Rick Danmeier 30 yard field goal,20,10
6,3.0,Vikings,Ahmad Rashad 7 yard pass from Tommy Kramer (Rick Danmeier kick),27,10
7,3.0,Packers,Jan Stenerud 27 yard field goal,27,13
8,3.0,Vikings,Rick Danmeier 25 yard field goal,30,13
