,Quarter,Tm,Detail,NYG,STL
0,1,Giants,Aaron Thomas 21 yard pass from Y.A. Tittle (Don Chandler kick),7,0
1,2,Cardinals,Jim Bakken 27 yard field goal,7,3
2,3,Cardinals,Bobby Joe Conrad 15 yard pass from Charley Johnson (Jim Bakken kick),7,10
3,4,Giants,Don Chandler 21 yard field goal,10,10
