,Quarter,Time,Tm,Detail,CLE,SFO
0,1.0,13:28,49ers,Matt Breida 83 yard rush (Robbie Gould kick),0,7
1,1.0,6:30,49ers,Matt Breida 5 yard pass from Jimmy Garoppolo (Robbie Gould kick),0,14
2,2.0,11:26,Browns,Austin Seibert 30 yard field goal,3,14
3,2.0,2:00,49ers,Tevin Coleman 19 yard rush (Robbie Gould kick),3,21
4,3.0,10:42,49ers,George Kittle 22 yard pass from Jimmy Garoppolo (Robbie Gould kick),3,28
5,4.0,5:13,49ers,Robbie Gould 44 yard field goal,3,31
