,Quarter,Time,Tm,Detail,ATL,NOR
0,2.0,14:16,Saints,Doug Brien 20 yard field goal,0,3
1,2.0,12:30,Saints,Sammy Knight 31 yard interception return (Doug Brien kick),0,10
2,2.0,0:00,Saints,Doug Brien 46 yard field goal,0,13
3,3.0,14:43,Falcons,Darrick Vaughn 88 yard kickoff return (Morten Andersen kick),7,13
4,3.0,9:45,Saints,Terry Allen 2 yard rush (Doug Brien kick),7,20
5,4.0,4:54,Saints,Doug Brien 47 yard field goal,7,23
