,Quarter,Tm,Detail,NYJ,HOU
0,1.0,Oilers,Ernest Givins 5 yard pass from Warren Moon (Al Del Greco kick),0,7
1,2.0,Jets,Al Toon 10 yard pass from Ken O'Brien (Raul Allegre kick),7,7
2,2.0,Oilers,Ernest Givins 20 yard pass from Warren Moon (Al Del Greco kick),7,14
3,2.0,Jets,Raul Allegre 33 yard field goal,10,14
4,4.0,Oilers,Al Del Greco 53 yard field goal,10,17
