,Quarter,Time,Tm,Detail,CLE,GNB
0,1.0,12:22,Packers,Jermichael Finley 10 yard pass from Aaron Rodgers (Mason Crosby kick),0,7
1,1.0,3:44,Packers,Eddie Lacy 1 yard rush (Mason Crosby kick),0,14
2,2.0,5:11,Browns,Billy Cundiff 46 yard field goal,3,14
3,2.0,0:03,Packers,Mason Crosby 26 yard field goal,3,17
4,3.0,5:03,Browns,Billy Cundiff 44 yard field goal,6,17
5,4.0,8:30,Packers,Jordy Nelson 1 yard pass from Aaron Rodgers (Mason Crosby kick),6,24
6,4.0,6:09,Browns,Jordan Cameron 2 yard pass from Brandon Weeden (Billy Cundiff kick),13,24
7,4.0,3:44,Packers,Jarrett Boykin 20 yard pass from Aaron Rodgers (Mason Crosby kick),13,31
