,Quarter,Time,Tm,Detail,TAM,MIN
0,1.0,10:47,Vikings,Randy Moss 61 yard pass from Randall Cunningham (Gary Anderson kick),0,7
1,1.0,6:50,Vikings,Randy Moss 27 yard pass from Randall Cunningham (Gary Anderson kick),0,14
2,1.0,0:22,Vikings,Andrew Glover 12 yard pass from Randall Cunningham (Gary Anderson kick),0,21
3,2.0,9:22,Buccaneers,Dave Moore 26 yard pass from Trent Dilfer (Martin Gramatica kick),7,21
4,4.0,7:34,Buccaneers,Reidel Anthony 26 yard pass from Trent Dilfer (Martin Gramatica kick),14,21
