,Quarter,Tm,Detail,STL,SDG
0,1.0,Chargers,Lionel James 81 yard punt return (Vince Abbott kick),0,7
1,1.0,Chargers,Gary Anderson 5 yard rush (Vince Abbott kick),0,14
2,2.0,Chargers,Wes Chandler 26 yard pass from Dan Fouts (Vince Abbott kick),0,21
3,2.0,Chargers,Lionel James 7 yard rush (Vince Abbott kick),0,28
4,3.0,Cardinals,Roy Green 8 yard pass from Neil Lomax (Jim Gallery kick),7,28
5,3.0,Cardinals,Jim Gallery 38 yard field goal,10,28
6,4.0,Cardinals,Jay Novacek 21 yard pass from Neil Lomax (Jim Gallery kick),17,28
7,4.0,Cardinals,Stump Mitchell 17 yard pass from Neil Lomax (Jim Gallery kick),24,28
