,Quarter,Tm,Detail,DAL,DET
0,2.0,Cowboys,Tony Dorsett 5 yard rush (Rafael Septien kick),7,0
1,2.0,Cowboys,Timmy Newsome 15 yard pass from Danny White (Rafael Septien kick),14,0
2,2.0,Cowboys,Rafael Septien 27 yard field goal,17,0
3,4.0,Cowboys,Danny White 1 yard rush (Rafael Septien kick),24,0
4,4.0,Cowboys,Herschel Walker 7 yard rush (Rafael Septien kick),31,0
5,4.0,Lions,James Jones 1 yard rush (Eddie Murray kick),31,7
