,Quarter,Tm,Detail,DET,NWE
0,1.0,Lions,Errol Mann 23 yard field goal,3,0
1,2.0,Lions,Altie Taylor 3 yard rush (Wayne Walker kick),10,0
2,2.0,Lions,Mike Lucci 26 yard interception return (Wayne Walker kick),17,0
3,3.0,Lions,Errol Mann 27 yard field goal,20,0
4,3.0,Patriots,Randy Vataha 61 yard pass from Jim Plunkett (Charlie Gogolak kick),20,7
5,4.0,Lions,Steve Owens 74 yard pass from Greg Landry (Errol Mann kick),27,7
6,4.0,Lions,Steve Owens 2 yard rush (Errol Mann kick),34,7
