,Quarter,Time,Tm,Detail,JAX,CHI
0,2.0,14:12,Bears,Connor Barth 36 yard field goal,0,3
1,2.0,4:29,Bears,Jordan Howard 1 yard rush (Connor Barth kick),0,10
2,3.0,1:53,Bears,Connor Barth 24 yard field goal,0,13
3,4.0,14:50,Jaguars,Chris Ivory 1 yard rush (Jason Myers kick),7,13
4,4.0,8:28,Bears,Connor Barth 32 yard field goal,7,16
5,4.0,4:59,Jaguars,Jason Myers 30 yard field goal,10,16
6,4.0,2:49,Jaguars,Arrelious Benn 51 yard pass from Blake Bortles (Jason Myers kick),17,16
