,Quarter,Tm,Detail,KAN,SDG
0,1.0,Chiefs,Warren McVea 6 yard rush (Jan Stenerud kick),7,0
1,2.0,Chiefs,Ed Podolak 1 yard rush (Jan Stenerud kick),14,0
2,3.0,Chargers,Mike Montgomery 39 yard pass from John Hadl (Dennis Partee kick),14,7
3,4.0,Chargers,Jerry LeVias 37 yard pass from John Hadl (Dennis Partee kick),14,14
4,4.0,Chargers,Mike Garrett 26 yard rush (Dennis Partee kick),14,21
