,Quarter,Tm,Detail,MIN,SEA
0,1.0,Seahawks,Sam McCullum 44 yard pass from Jim Zorn,0,6
1,1.0,Seahawks,Jim Zorn 12 yard rush (Efren Herrera kick),0,13
2,2.0,Vikings,Ahmad Rashad 2 yard pass from Fran Tarkenton (Rick Danmeier kick),7,13
3,2.0,Seahawks,David Sims 8 yard rush,7,19
4,2.0,Vikings,Fran Tarkenton 1 yard rush (Rick Danmeier kick),14,19
5,3.0,Vikings,Robert Miller 5 yard rush (Rick Danmeier kick),21,19
6,3.0,Vikings,Sammy White 9 yard pass from Fran Tarkenton (Rick Danmeier kick),28,19
7,4.0,Seahawks,Jim Zorn 22 yard rush (Efren Herrera kick),28,26
8,4.0,Seahawks,Efren Herrera 19 yard field goal,28,29
