,Quarter,Tm,Detail,NYG,PRV
0,2.0,Giants,Glenn Campbell 30 yard pass from Mack Flenniken (Dutch Kitzmiller kick),7,0
1,2.0,Steam Roller,Al Rose blocked punt recovery in end zone,7,6
2,2.0,Giants,Mack Flenniken 1 yard rush (Dutch Kitzmiller kick),14,6
