,Quarter,Tm,Detail,HOU,OAK
0,1.0,Raiders,Chris Bahr 47 yard field goal,0,3
1,1.0,Oilers,Earl Campbell 1 yard rush (Toni Fritsch kick),7,3
2,2.0,Raiders,Todd Christensen 1 yard pass from Jim Plunkett (Chris Bahr kick),7,10
3,4.0,Raiders,Arthur Whittington 44 yard pass from Jim Plunkett (Chris Bahr kick),7,17
4,4.0,Raiders,Chris Bahr 37 yard field goal,7,20
5,4.0,Raiders,Lester Hayes 20 yard interception return (Chris Bahr kick),7,27
