,Quarter,Time,Tm,Detail,ARI,NYJ
0,1.0,7:40,Cardinals,Chase Edmonds 29 yard rush (Zane Gonzalez kick),7,0
1,2.0,7:04,Jets,Sam Ficken 26 yard field goal,7,3
2,2.0,2:46,Cardinals,Kyler Murray 2 yard rush (Zane Gonzalez kick),14,3
3,2.0,0:08,Cardinals,Zane Gonzalez 47 yard field goal,17,3
4,3.0,5:59,Jets,Jamison Crowder 11 yard pass from Joe Flacco (Sam Ficken kick),17,10
5,3.0,0:18,Cardinals,Kenyan Drake 1 yard rush (Zane Gonzalez kick),24,10
6,4.0,8:42,Cardinals,DeAndre Hopkins 37 yard pass from Kyler Murray (pass failed),30,10
