,Quarter,Tm,Detail,DAL,STL
0,1.0,Cardinals,Terry Metcalf 30 yard pass from Jim Hart (Jim Bakken kick),0,7
1,1.0,Cowboys,Toni Fritsch 23 yard field goal,3,7
2,1.0,Cardinals,Mel Gray 49 yard pass from Jim Hart (Jim Bakken kick),3,14
3,2.0,Cardinals,Steve Jones 1 yard rush (Jim Bakken kick),3,21
4,2.0,Cardinals,Mel Gray 6 yard pass from Jim Hart (Jim Bakken kick),3,28
5,3.0,Cowboys,Doug Dennison 1 yard rush (Toni Fritsch kick),10,28
6,4.0,Cardinals,Jim Bakken 27 yard field goal,10,31
7,4.0,Cowboys,Preston Pearson 1 yard rush (Toni Fritsch kick),17,31
