,Quarter,Tm,Detail,DET,SFO
0,2.0,Lions,Dan Lewis 55 yard pass from Jim Ninowski (Jim Martin kick),7,0
1,2.0,Lions,Jim Martin 21 yard field goal,10,0
2,4.0,Lions,Nick Pietrosante 27 yard rush (Jim Martin kick),17,0
3,4.0,Lions,Terry Barr 19 yard rush (Jim Martin kick),24,0
