,Quarter,Tm,Detail,MIN,OAK
0,1.0,Raiders,Mark van Eeghen 2 yard rush (Errol Mann kick),0,7
1,1.0,Raiders,Cliff Branch 10 yard pass from Ken Stabler (Errol Mann kick),0,14
2,1.0,Raiders,Willie Hall 2 yard defensive fumble return (Errol Mann kick),0,21
3,2.0,Vikings,Nate Wright 27 yard defensive fumble return (Fred Cox kick),7,21
4,3.0,Raiders,Cliff Branch 32 yard pass from Ken Stabler (Errol Mann kick),7,28
5,4.0,Raiders,Carl Garrett 2 yard pass from Ken Stabler (Errol Mann kick),7,35
6,4.0,Vikings,Sammy White 11 yard pass from Tommy Kramer,13,35
