,Quarter,Tm,Detail,NYG,PRV
0,2.0,Steam Roller,Jack Cronin 2 yard rush,0,6
1,2.0,Steam Roller,Gus Sonnenberg 28 yard field goal,0,9
2,4.0,Steam Roller,Jack Cronin 1 yard rush (Gus Sonnenberg kick),0,16
