,Quarter,Time,Tm,Detail,DEN,BAL
0,1.0,5:31,Broncos,Jason Elam 28 yard field goal,3,0
1,2.0,10:40,Ravens,Matt Stover 25 yard field goal,3,3
2,2.0,7:41,Ravens,Matt Stover 39 yard field goal,3,6
3,2.0,0:00,Ravens,Matt Stover 22 yard field goal,3,9
4,3.0,7:10,Broncos,Jason Elam 22 yard field goal,6,9
5,4.0,7:35,Ravens,Terry Jones 5 yard pass from Kyle Boller (Matt Stover kick),6,16
6,4.0,3:00,Ravens,Matt Stover 29 yard field goal,6,19
7,4.0,1:56,Ravens,Jamal Lewis 28 yard rush (Matt Stover kick),6,26
