,Quarter,Tm,Detail,NOR,SFO
0,1.0,Saints,Jeff Groth 24 yard pass from Dave Wilson (Benny Ricardo kick),7,0
1,2.0,49ers,Johnny Davis 6 yard rush (Matt Bahr kick),7,7
2,3.0,49ers,Freddie Solomon 60 yard pass from Joe Montana (Matt Bahr kick),7,14
3,4.0,49ers,Ronnie Lott 26 yard interception return (Matt Bahr kick),7,21
4,4.0,Saints,Wayne Wilson 9 yard pass from Archie Manning (Benny Ricardo kick),14,21
