,Quarter,Tm,Detail,NWE,NOR
0,1.0,Saints,Jimmy Rogers 23 yard pass from Jack Holmes (Benny Ricardo kick),0,7
1,1.0,Saints,Benny Ricardo 30 yard field goal,0,10
2,1.0,Patriots,John Smith 22 yard field goal,3,10
3,2.0,Patriots,Russ Francis 39 yard pass from Matt Cavanaugh (John Smith kick),10,10
4,2.0,Patriots,Andy Johnson 11 yard pass from Matt Cavanaugh (John Smith kick),17,10
5,2.0,Saints,Benny Ricardo 38 yard field goal,17,13
6,3.0,Patriots,Andy Johnson 6 yard pass from Matt Cavanaugh (John Smith kick),24,13
7,3.0,Saints,Wayne Wilson 1 yard rush (Benny Ricardo kick),24,20
8,4.0,Saints,Wes Chandler 23 yard pass from Archie Manning (Benny Ricardo kick),24,27
9,4.0,Patriots,Don Calhoun 22 yard rush (John Smith kick),31,27
10,4.0,Patriots,Mosi Tatupu 4 yard rush (John Smith kick),38,27
