,Quarter,Tm,Detail,IND,BUF
0,1.0,Colts,Dean Biasucci 26 yard field goal,3,0
1,2.0,Colts,Dean Biasucci 22 yard field goal,6,0
2,2.0,Bills,"Safety, Jones tackled George in end zone",6,2
3,2.0,Bills,Kenneth Davis 1 yard rush (Steve Christie kick),6,9
4,2.0,Bills,Bill Brooks 23 yard pass from Jim Kelly (Steve Christie kick),6,16
5,3.0,Colts,Dean Biasucci 37 yard field goal,9,16
6,3.0,Bills,Keith McKeller 13 yard pass from Jim Kelly (Steve Christie kick),9,23
