,Quarter,Tm,Detail,KAN,SDG
0,1.0,Chargers,Gary Garrison 18 yard pass from Dan Fouts (Dennis Partee kick),0,7
1,2.0,Chiefs,Elmo Wright 12 yard rush (Jan Stenerud kick),7,7
2,3.0,Chiefs,Woody Green 2 yard rush (Jan Stenerud kick),14,7
3,4.0,Chargers,Don Woods 6 yard rush (Dennis Partee kick),14,14
4,4.0,Chiefs,Woody Green 69 yard pass from Len Dawson (Jan Stenerud kick),21,14
5,4.0,Chiefs,Jan Stenerud 23 yard field goal,24,14
