,Quarter,Tm,Detail,MIN,RAM
0,1.0,Vikings,Dave Osborn 4 yard rush (Fred Cox kick),7,0
1,2.0,Vikings,Bill Brown 1 yard rush (Fred Cox kick),14,0
2,2.0,Rams,Bruce Gossett 37 yard field goal,14,3
3,2.0,Vikings,Fred Cox 39 yard field goal,17,3
4,3.0,Rams,Bruce Gossett 27 yard field goal,17,6
5,4.0,Vikings,Fred Cox 29 yard field goal,20,6
6,4.0,Rams,Larry Smith 4 yard pass from Roman Gabriel (Bruce Gossett kick),20,13
