,Quarter,Time,Tm,Detail,BAL,KAN
0,1.0,1:21,Ravens,Justin Tucker 28 yard field goal,3,0
1,2.0,2:48,Chiefs,Ryan Succop 30 yard field goal,3,3
2,3.0,8:00,Ravens,Justin Tucker 26 yard field goal,6,3
3,3.0,0:00,Ravens,Justin Tucker 39 yard field goal,9,3
4,4.0,4:31,Chiefs,Ryan Succop 31 yard field goal,9,6
