,Quarter,Tm,Detail,GNB,STL
0,1.0,Packers,Tom Moore 1 yard rush (Jerry Kramer kick),7,0
1,1.0,Packers,Jerry Kramer 39 yard field goal,10,0
2,2.0,Packers,Jim Taylor 1 yard rush (Jerry Kramer kick),17,0
3,2.0,Packers,Jerry Kramer 26 yard field goal,20,0
4,3.0,Packers,Jerry Kramer 34 yard field goal,23,0
5,3.0,Cardinals,Bobby Joe Conrad 27 yard pass from Charley Johnson (Jim Bakken kick),23,7
6,4.0,Packers,Jim Taylor 1 yard rush (Jerry Kramer kick),30,7
