,Quarter,Time,Tm,Detail,JAX,NWE
0,2.0,12:08,Patriots,Troy Brown 11 yard pass from Tom Brady (Adam Vinatieri kick),0,7
1,2.0,1:05,Jaguars,Josh Scobee 36 yard field goal,3,7
2,3.0,7:13,Patriots,David Givens 3 yard pass from Tom Brady (Adam Vinatieri kick),3,14
3,3.0,3:03,Patriots,Ben Watson 63 yard pass from Tom Brady (Adam Vinatieri kick),3,21
4,4.0,14:46,Patriots,Asante Samuel 73 yard interception return (Adam Vinatieri kick),3,28
