,Quarter,Tm,Detail,DET,MIA
0,1.0,Dolphins,Paul Warfield 21 yard pass from Bob Griese (Garo Yepremian kick),0,7
1,1.0,Dolphins,Paul Warfield 7 yard pass from Bob Griese (Garo Yepremian kick),0,14
2,2.0,Dolphins,Garo Yepremian 27 yard field goal,0,17
3,2.0,Dolphins,Paul Warfield 16 yard pass from Bob Griese (Garo Yepremian kick),0,24
4,2.0,Dolphins,Paul Warfield 4 yard pass from Bob Griese (Garo Yepremian kick),0,31
5,3.0,Dolphins,Garo Yepremian 28 yard field goal,0,34
6,4.0,Lions,Steve Owens 5 yard rush (Errol Mann kick),7,34
