,Quarter,Time,Tm,Detail,BAL,CIN
0,2.0,,Ravens,Brian Kinchen 23 yard pass from Vinny Testaverde (Matt Stover kick),7,0
1,2.0,,Bengals,Carl Pickens 14 yard pass from Jeff Blake (Doug Pelfrey kick),7,7
2,2.0,,Bengals,Doug Pelfrey 23 yard field goal,7,10
3,4.0,,Bengals,Doug Pelfrey 26 yard field goal,7,13
4,4.0,,Ravens,Jermaine Lewis 6 yard pass from Vinny Testaverde (Matt Stover kick),14,13
5,4.0,,Bengals,Tony McGee 1 yard pass from Jeff Blake (Garrison Hearst run),14,21
