,Quarter,Time,Tm,Detail,BAL,CIN
0,1.0,10:01,Bengals,Andy Dalton 1 yard rush (Mike Nugent kick),0,7
1,2.0,9:15,Ravens,Justin Tucker 45 yard field goal,3,7
2,2.0,1:02,Ravens,Justin Tucker 50 yard field goal,6,7
3,3.0,9:56,Bengals,Giovani Bernard 1 yard rush (Mike Nugent kick),6,14
4,3.0,6:29,Bengals,Mike Nugent 32 yard field goal,6,17
5,3.0,1:58,Ravens,Lorenzo Taliaferro 10 yard rush (Justin Forsett run),14,17
6,4.0,11:24,Bengals,Mike Nugent 33 yard field goal,14,20
7,4.0,6:31,Ravens,Lorenzo Taliaferro 8 yard rush (Justin Tucker kick),21,20
8,4.0,3:59,Ravens,Justin Tucker 53 yard field goal,24,20
9,4.0,0:57,Bengals,Andy Dalton 1 yard rush (Mike Nugent kick),24,27
