,Quarter,Time,Tm,Detail,PIT,NYJ
0,1.0,10:32,Jets,Robby Anderson 23 yard pass from Sam Darnold (Sam Ficken kick),0,7
1,2.0,14:20,Jets,Sam Ficken 54 yard field goal,0,10
2,2.0,1:22,Steelers,Chris Boswell 49 yard field goal,3,10
3,2.0,0:09,Steelers,Diontae Johnson 29 yard pass from Mason Rudolph (Chris Boswell kick),10,10
4,3.0,6:34,Jets,Sam Ficken 37 yard field goal,10,13
5,4.0,3:15,Jets,Sam Ficken 42 yard field goal,10,16
