,Quarter,Time,Tm,Detail,KAN,DAL
0,1.0,9:32,Chiefs,Larry Johnson 11 yard rush (Lawrence Tynes kick),7,0
1,2.0,8:00,Cowboys,Billy Cundiff 34 yard field goal,7,3
2,2.0,5:19,Chiefs,Larry Johnson 1 yard rush (Lawrence Tynes kick),14,3
3,2.0,3:55,Cowboys,Terry Glenn 71 yard pass from Drew Bledsoe (Billy Cundiff kick),14,10
4,2.0,0:40,Cowboys,Jason Witten 26 yard pass from Drew Bledsoe (Billy Cundiff kick),14,17
5,3.0,8:39,Chiefs,Larry Johnson 21 yard rush (Lawrence Tynes kick),21,17
6,4.0,13:07,Cowboys,Terry Glenn 6 yard rush (Billy Cundiff kick),21,24
7,4.0,3:55,Chiefs,Eddie Kennison 47 yard pass from Trent Green (Lawrence Tynes kick),28,24
8,4.0,0:22,Cowboys,Dan Campbell 1 yard pass from Drew Bledsoe (Billy Cundiff kick),28,31
