,Quarter,Time,Tm,Detail,BAL,DEN
0,1.0,12:59,Ravens,Matt Stover 29 yard field goal,3,0
1,1.0,8:44,Broncos,Jason Elam 47 yard field goal,3,3
2,2.0,0:00,Broncos,Jason Elam 48 yard field goal,3,6
3,3.0,6:08,Broncos,Kyle Johnson 7 yard pass from Jake Plummer (Jason Elam kick failed),3,12
4,4.0,1:52,Ravens,Mark Clayton 39 yard pass from Kyle Boller (Matt Stover kick),10,12
