,Quarter,Time,Tm,Detail,CLE,BAL
0,2.0,8:05,Ravens,Justin Tucker 25 yard field goal,0,3
1,2.0,2:32,Browns,Garrett Hartley 38 yard field goal,3,3
2,3.0,3:29,Browns,Terrance West 2 yard rush (Garrett Hartley kick),10,3
3,4.0,10:37,Ravens,Justin Tucker 28 yard field goal,10,6
4,4.0,7:33,Ravens,Torrey Smith 16 yard pass from Joe Flacco (Justin Tucker kick),10,13
5,4.0,3:44,Ravens,Kamar Aiken 2 yard pass from Joe Flacco (Justin Tucker kick),10,20
