,Quarter,Tm,Detail,CHI,DET
0,2.0,Lions,Charlie Sanders 11 yard pass from Bill Munson (Errol Mann kick),0,7
1,2.0,Lions,Ray Jarvis 14 yard pass from Bill Munson (Errol Mann kick),0,14
2,3.0,Lions,Jon Staggers 12 yard pass from Bill Munson,0,20
3,4.0,Lions,Horace King 15 yard rush (Errol Mann kick),0,27
4,4.0,Bears,Bob Grim 7 yard pass from Gary Huff (Bob Thomas kick),7,27
