,Quarter,Tm,Detail,CRD,PHI
0,1.0,Eagles,Steve Van Buren 47 yard rush (Roy Zimmerman kick),0,7
1,2.0,Eagles,Jack Ferrante 26 yard pass from Allie Sherman (Roy Zimmerman kick),0,14
2,4.0,Eagles,Steve Van Buren 33 yard pass from Roy Zimmerman (Roy Zimmerman kick),0,21
3,4.0,Cardinals,Frank Seno 2 yard rush,6,21
