,Quarter,Time,Tm,Detail,DET,GNB
0,1.0,,Packers,Bryce Paup 10 yard interception return (Chris Jacke kick),0,7
1,1.0,,Packers,Chris Jacke 30 yard field goal,0,10
2,2.0,,Packers,Edgar Bennett 17 yard pass from Brett Favre (Chris Jacke kick),0,17
3,2.0,,Packers,Robert Brooks 12 yard pass from Brett Favre (Chris Jacke kick),0,24
4,2.0,6:28,Lions,Mel Gray 91 yard kickoff return (Jason Hanson kick),7,24
5,2.0,6:28,Packers,Robert Brooks 28 yard pass from Brett Favre (Chris Jacke kick),7,31
6,3.0,6:28,Lions,Herman Moore 28 yard pass from Dave Krieg (Jason Hanson kick),14,31
7,3.0,6:28,Packers,Reggie Cobb 10 yard rush (Chris Jacke kick),14,38
8,4.0,6:28,Lions,Aubrey Matthews 15 yard pass from Dave Krieg (Brett Perriman pass from Dave Krieg),22,38
9,4.0,6:28,Lions,Herman Moore 1 yard pass from Dave Krieg (Brett Perriman pass from Dave Krieg),30,38
