,Quarter,Time,Tm,Detail,CAR,DAL
0,1.0,,Cowboys,Richie Cunningham 27 yard field goal,0,3
1,1.0,,Panthers,Rocket Ismail 35 yard pass from Steve Beuerlein (John Kasay kick),7,3
2,2.0,,Panthers,Rocket Ismail 16 yard pass from Steve Beuerlein (John Kasay kick),14,3
3,2.0,,Cowboys,Ernie Mills 18 yard pass from Jason Garrett (Richie Cunningham kick),14,10
4,3.0,,Cowboys,Chris Warren 6 yard pass from Jason Garrett (Richie Cunningham kick),14,17
5,3.0,,Cowboys,Emmitt Smith 2 yard rush (Richie Cunningham kick),14,24
6,4.0,,Cowboys,Richie Cunningham 38 yard field goal,14,27
7,4.0,,Panthers,William Floyd 3 yard pass from Steve Beuerlein,20,27
