,Quarter,Time,Tm,Detail,NYG,MIN
0,1.0,12:57,Vikings,Visanthe Shiancoe 10 yard pass from Brett Favre (Ryan Longwell kick),0,7
1,2.0,14:46,Vikings,Ryan Longwell 36 yard field goal,0,10
2,2.0,8:52,Vikings,Adrian Peterson 1 yard rush (Ryan Longwell kick),0,17
3,2.0,2:39,Vikings,Sidney Rice 4 yard pass from Brett Favre (Ryan Longwell kick),0,24
4,2.0,0:07,Vikings,Sidney Rice 12 yard pass from Brett Favre (Ryan Longwell kick),0,31
5,3.0,8:05,Vikings,Ryan Longwell 24 yard field goal,0,34
6,3.0,6:13,Vikings,Naufahu Tahi 1 yard pass from Brett Favre (Ryan Longwell kick),0,41
7,3.0,0:10,Vikings,Ryan Longwell 27 yard field goal,0,44
8,4.0,9:11,Giants,Danny Ware 1 yard rush (Lawrence Tynes kick),7,44
