,Quarter,Time,Tm,Detail,MIA,GNB
0,1.0,,Dolphins,Olindo Mare 24 yard field goal,3,0
1,1.0,,Dolphins,Olindo Mare 31 yard field goal,6,0
2,2.0,,Packers,Antonio Freeman 2 yard pass from Brett Favre (Ryan Longwell kick),6,7
3,2.0,,Dolphins,Olindo Mare 22 yard field goal,9,7
4,2.0,,Packers,Ryan Longwell 26 yard field goal,9,10
5,3.0,,Dolphins,Olindo Mare 34 yard field goal,12,10
6,3.0,,Packers,Ryan Longwell 24 yard field goal,12,13
7,4.0,,Packers,Ryan Longwell 39 yard field goal,12,16
8,4.0,,Packers,William Henderson 10 yard pass from Brett Favre (Ryan Longwell kick),12,23
9,4.0,,Dolphins,Charles Jordan 29 yard pass from Dan Marino (pass failed),18,23
