,Quarter,Time,Tm,Detail,CHI,STL
0,1.0,,Rams,Toby Wright 73 yard defensive fumble return (Steve McLaughlin kick),0,7
1,1.0,,Rams,Steve McLaughlin 45 yard field goal,0,10
2,2.0,,Bears,Keith Jennings 15 yard pass from Erik Kramer (Kevin Butler kick),7,10
3,2.0,,Rams,Todd Kinchen 6 yard pass from Chris Miller (Steve McLaughlin kick),7,17
4,2.0,,Bears,Curtis Conway 20 yard pass from Erik Kramer (Kevin Butler kick),14,17
5,2.0,,Bears,Michael Timpson 12 yard pass from Erik Kramer (Kevin Butler kick),21,17
6,3.0,,Rams,Marv Cook 1 yard pass from Chris Miller (Steve McLaughlin kick),21,24
7,3.0,,Rams,Troy Drayton 12 yard pass from Chris Miller (Steve McLaughlin kick),21,31
8,4.0,,Bears,Jeff Graham 47 yard pass from Erik Kramer (Kevin Butler kick),28,31
9,4.0,,Rams,Steve McLaughlin 25 yard field goal,28,34
