,Quarter,Time,Tm,Detail,OAK,MIA
0,1.0,10:24,Dolphins,Olindo Mare 25 yard field goal,0,3
1,1.0,6:27,Raiders,Sebastian Janikowski 26 yard field goal,3,3
2,1.0,4:01,Dolphins,Cris Carter 5 yard pass from Jay Fiedler (Olindo Mare kick),3,10
3,2.0,5:01,Dolphins,Travis Minor 4 yard rush (Olindo Mare kick),3,17
4,2.0,0:45,Raiders,Sebastian Janikowski 38 yard field goal,6,17
5,3.0,11:13,Raiders,Sebastian Janikowski 45 yard field goal,9,17
6,3.0,3:38,Dolphins,Olindo Mare 27 yard field goal,9,20
7,4.0,14:52,Raiders,Jerry Porter 20 yard pass from Rich Gannon (Jerry Porter pass from Rich Gannon),17,20
8,4.0,2:28,Dolphins,Olindo Mare 41 yard field goal,17,23
