,Quarter,Tm,Detail,BKN,PHI
0,1.0,Eagles/Steelers,Roy Zimmerman 23 yard field goal,0,3
1,1.0,Eagles/Steelers,Johnny Butler 10 yard rush (Roy Zimmerman kick),0,10
2,2.0,Eagles/Steelers,Ernie Steele 10 yard rush (Roy Zimmerman kick),0,17
