,Quarter,Tm,Detail,DAL,ATL
0,1.0,Cowboys,Lin Elliott 47 yard field goal,3,0
1,1.0,Falcons,Drew Hill 6 yard pass from Wade Wilson (Norm Johnson kick),3,7
2,2.0,Cowboys,Kelvin Martin 11 yard pass from Troy Aikman (Lin Elliott kick),10,7
3,2.0,Cowboys,Lin Elliott 22 yard field goal,13,7
4,2.0,Cowboys,Jay Novacek 18 yard pass from Troy Aikman (Lin Elliott kick),20,7
5,2.0,Falcons,Norm Johnson 27 yard field goal,20,10
6,3.0,Cowboys,Alvin Harper 23 yard pass from Troy Aikman (Lin Elliott kick),27,10
7,3.0,Cowboys,Emmitt Smith 29 yard rush (Lin Elliott kick),34,10
8,4.0,Cowboys,Emmitt Smith 29 yard rush (Lin Elliott kick),41,10
9,4.0,Falcons,Andre Rison 10 yard pass from Wade Wilson (Norm Johnson kick),41,17
