,Quarter,Time,Tm,Detail,ATL,BAL
0,1.0,1:45,Falcons,Michael Jenkins 13 yard pass from Michael Vick (Morten Andersen kick),7,0
1,3.0,9:18,Ravens,Matt Stover 29 yard field goal,7,3
2,3.0,4:32,Ravens,Jamal Lewis 2 yard rush (Matt Stover kick),7,10
3,3.0,1:58,Falcons,Morten Andersen 21 yard field goal,10,10
4,3.0,0:20,Ravens,Jamal Lewis 16 yard rush (Matt Stover kick),10,17
5,4.0,3:02,Ravens,Jamal Lewis 5 yard rush (Matt Stover kick),10,24
