,Quarter,Tm,Detail,CHI,GNB
0,1.0,Packers,Al Del Greco 40 yard field goal,0,3
1,2.0,Bears,William Perry 4 yard pass from Jim McMahon (Kevin Butler kick),7,3
2,3.0,Packers,Jessie Clark 55 yard pass from Jim Zorn (Al Del Greco kick),7,10
3,4.0,Bears,"Safety, McMichael sacked Zorn in end zone",9,10
4,4.0,Bears,Walter Payton 27 yard rush (Kevin Butler kick),16,10
