,Quarter,Tm,Detail,NYG,STL
0,1.0,Cardinals,Neil O'Donoghue 30 yard field goal,0,3
1,1.0,Giants,George Martin 20 yard defensive fumble return (Joe Danelo kick),7,3
2,2.0,Giants,Joe Danelo 27 yard field goal,10,3
3,3.0,Giants,Rob Carpenter 1 yard rush (Joe Danelo kick),17,3
4,4.0,Giants,Joe Danelo 33 yard field goal,20,3
5,4.0,Cardinals,Greg LaFleur 3 yard pass from Neil Lomax (Neil O'Donoghue kick),20,10
