,Quarter,Time,Tm,Detail,SFO,ATL
0,1,9:58,Falcons,Bob Christian 5 yard pass from Chris Chandler (Jay Feely kick),0,7
1,1,0:55,Falcons,Maurice Smith 3 yard rush (Jay Feely kick),0,14
2,2,9:27,49ers,Jeff Garcia 7 yard rush (Jose Cortez kick),7,14
3,2,4:14,Falcons,Jay Feely 39 yard field goal,7,17
4,2,0:12,Falcons,Jay Feely 24 yard field goal,7,20
5,3,9:19,49ers,Jose Cortez 27 yard field goal,10,20
6,3,0:51,49ers,Terrell Owens 33 yard pass from Jeff Garcia (Jose Cortez kick),17,20
7,4,8:49,Falcons,Jay Feely 36 yard field goal,17,23
8,4,4:44,49ers,Kevan Barlow 2 yard rush (Jose Cortez kick),24,23
9,4,2:22,Falcons,Brian Finneran 47 yard pass from Chris Chandler (Shawn Jefferson pass from Chris Chandler),24,31
10,4,0:17,49ers,Terrell Owens 17 yard pass from Jeff Garcia (Jose Cortez kick),31,31
11,OT,6:16,49ers,Terrell Owens 52 yard pass from Jeff Garcia,37,31
