,Quarter,Tm,Detail,SEA,NYG
0,1.0,Seahawks,Steve Largent 12 yard pass from Dave Krieg (Norm Johnson kick),7,0
1,1.0,Giants,Ali Haji-Sheikh 48 yard field goal,7,3
2,2.0,Seahawks,Paul Johns 6 yard pass from Dave Krieg (Norm Johnson kick),14,3
3,2.0,Giants,Ali Haji-Sheikh 44 yard field goal,14,6
4,2.0,Seahawks,Norm Johnson 31 yard field goal,17,6
5,3.0,Giants,Ali Haji-Sheikh 25 yard field goal,17,9
6,4.0,Giants,Ali Haji-Sheikh 32 yard field goal,17,12
