,Quarter,Tm,Detail,TAM,NOR
0,1.0,Buccaneers,Chris Chandler 12 yard rush (Steve Christie kick),7,0
1,2.0,Saints,Brett Perriman 26 yard pass from Steve Walsh (Morten Andersen kick),7,7
2,2.0,Saints,Craig Heyward 47 yard rush (Morten Andersen kick),7,14
3,3.0,Saints,Rueben Mayes 4 yard rush (Morten Andersen kick),7,21
4,3.0,Saints,Craig Heyward 2 yard rush (Morten Andersen kick),7,28
5,4.0,Saints,Rueben Mayes 1 yard rush (Morten Andersen kick),7,35
