,Quarter,Tm,Detail,PIT,CIN
0,1.0,Steelers,Rick Woods 38 yard defensive fumble return (Gary Anderson kick),7,0
1,2.0,Steelers,Gary Anderson 35 yard field goal,10,0
2,2.0,Bengals,Pete Johnson 1 yard rush (Jim Breech kick),10,7
3,2.0,Bengals,James Griffin 41 yard interception return (Jim Breech kick),10,14
4,4.0,Steelers,Ron Johnson 34 yard interception return (Gary Anderson kick),17,14
5,4.0,Steelers,Harvey Clayton 70 yard interception return (Gary Anderson kick),24,14
