,Quarter,Tm,Detail,ATL,NOR
0,1,Saints,Ike Harris 5 yard pass from Archie Manning (Russell Erxleben kick),0,7
1,2,Saints,Wes Chandler 40 yard pass from Chuck Muncie (Russell Erxleben kick),0,14
2,2,Falcons,Tim Mazzetti 27 yard field goal,3,14
3,2,Falcons,Alfred Jenkins 20 yard pass from Steve Bartkowski (Tim Mazzetti kick),10,14
4,2,Saints,Chuck Muncie 69 yard rush (Russell Erxleben kick),10,21
5,2,Falcons,Wallace Francis 20 yard pass from Steve Bartkowski (Tim Mazzetti kick),17,21
6,2,Saints,Chuck Muncie 4 yard rush (Russell Erxleben kick),17,28
7,2,Falcons,Tim Mazzetti 43 yard field goal,20,28
8,3,Saints,Russell Erxleben 37 yard field goal,20,31
9,3,Falcons,Wallace Francis 21 yard pass from Steve Bartkowski (Tim Mazzetti kick),27,31
10,4,Falcons,William Andrews 4 yard rush (Tim Mazzetti kick),34,31
11,4,Saints,Russell Erxleben 38 yard field goal,34,34
12,OT,Falcons,James Mayberry 6 yard interception return,40,34
