,Quarter,Time,Tm,Detail,SEA,SFO
0,1.0,5:38,49ers,Joe Nedney 37 yard field goal,0,3
1,1.0,2:36,49ers,Frank Gore 79 yard rush (Joe Nedney kick),0,10
2,2.0,10:04,Seahawks,Olindo Mare 36 yard field goal,3,10
3,2.0,2:57,49ers,Joe Nedney 42 yard field goal,3,13
4,2.0,0:22,Seahawks,Julius Jones 1 yard pass from Seneca Wallace (Olindo Mare kick),10,13
5,3.0,14:49,49ers,Frank Gore 80 yard rush (Joe Nedney kick),10,20
6,4.0,6:53,49ers,Joe Nedney 39 yard field goal,10,23
