,Quarter,Time,Tm,Detail,HOU,BAL
0,2.0,9:24,Ravens,Seth Roberts 15 yard pass from Lamar Jackson (Justin Tucker kick),0,7
1,2.0,2:18,Ravens,Mark Andrews 18 yard pass from Lamar Jackson (Justin Tucker kick),0,14
2,3.0,11:40,Ravens,Mark Ingram 25 yard pass from Lamar Jackson (Justin Tucker kick),0,21
3,3.0,6:56,Ravens,Justin Tucker 34 yard field goal,0,24
4,3.0,1:35,Ravens,Justin Tucker 46 yard field goal,0,27
5,4.0,9:57,Ravens,Mark Ingram 12 yard pass from Lamar Jackson (Justin Tucker kick),0,34
6,4.0,7:18,Texans,Carlos Hyde 41 yard rush (Ka'imi Fairbairn kick),7,34
7,4.0,4:12,Ravens,Gus Edwards 63 yard rush (Justin Tucker kick),7,41
