,Quarter,Tm,Detail,TAM,NWE
0,3,Patriots,Bob Perryman 6 yard rush (Jason Staurovsky kick),0,7
1,4,Buccaneers,Mark Carrier 15 yard pass from Vinny Testaverde (John Carney kick),7,7
2,OT,Patriots,Jason Staurovsky 27 yard field goal,7,10
